Name,Sex,Event,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Federation,Date,MeetCountry,MeetName
CÃ­cera Tavares,F,SBD,Single-ply,39.5,35-39,Open,62.63,63,215,-225,227.5,227.5,120,125,130,130,205,212.5,217.5,217.5,575,2,620.29,620.29,547.77,740.74,Yes,IPF,11/14/2016,USA,World Open Championships
Tetyana Skrypka,F,SBD,Single-ply,17.5,18-19,Juniors,66.9,67.5,215,222.5,230,230,137.5,-145,145,145,190,210,223,223,597.5,1,613.75,650.58,541.5,744.12,Yes,EPF,6/16/2005,Ukraine,European Junior Powerlifting Championships
Priscilla Ribic,F,SBD,Single-ply,32,24-34,Guest Lifter,67.5,67.5,217.5,232.5,-240,232.5,132.5,142.5,150,150,227.5,240,247.5,247.5,630,0,642.99,642.99,567.21,775.86,Yes,USAPL,12/11/2004,USA,American Open
Larysa Soloviova,F,SBD,Single-ply,39.5,35-39,Open,62.85,63,220,230,237.5,237.5,160,170,180.5,180.5,210,225,-232.5,225,643,1,691.8,691.8,610.89,814.64,Yes,IPF,11/5/2018,Sweden,48th World Open Championships
Sarah Keller,F,SBD,Multi-ply,24,24-34,O,74.84,75,220,237.5,260,260,-175,175,182.5,182.5,225,237.5,245.5,245.5,688,1,654.92,654.92,576.14,802.08,No,APF,5/30/2008,USA,Senior Nationals
Carola Garra,F,SBD,Single-ply,23.5,24-34,Open,62.25,63,220,227.5,-232.5,227.5,157.5,162.5,-167.5,162.5,192.5,202.5,-210,202.5,592.5,2,642.13,642.13,567.1,762.13,Yes,IPF,11/5/2018,Sweden,48th World Open Championships
Yulia Medvedeva,F,SBD,Single-ply,25.5,24-34,Open,66.86,72,220,-237.5,-242.5,220,160,170,175,175,202.5,215,222.5,222.5,617.5,1,634.57,634.57,559.87,765.67,Yes,IPF,11/10/2012,Puerto Rico,World Powerlifting Championships
Tetyana Melnyk,F,SBD,Single-ply,25.5,24-34,Open,62.5,63,220,230,240,240,-130,130,140,140,205,-215,-225,205,585,2,632.07,632.07,558.19,752.49,Yes,UkrainePF,2/23/2011,Ukraine,Ukrainian Open Powerlifting Championship
Yelyzaveta Byruk,F,SBD,Single-ply,21.5,20-23,Open,72.48,75,220,232.5,240,240,145,155,-160,155,212.5,225,232.5,232.5,627.5,1,609.78,615.87,537.01,750.66,Yes,IPF,11/7/2010,South Africa,World Powerlifting Chmapionships
Olga Adamovich,F,SBD,Single-ply,26.5,24-34,Open,62.7,63,222.5,232.5,-240,232.5,125,132.5,135,135,195,205,212.5,212.5,580,3,625.15,625.15,552.05,745.91,Yes,IPF,11/5/2018,Sweden,48th World Open Championships
Mary Ellen Warman,F,SBD,Multi-ply,37.5,35-39,O,60,60,222.5,-240,240,240,100,107.5,-112.5,107.5,187.5,195,-202.5,195,542.5,1,604.83,604.83,534.4,718.2,No,WPC,11/7/1996,South Africa,Worlds
Yenifer CanelÃ³n,F,SBD,Single-ply,29.5,24-34,Heavy,63.02,72,225,235,-240,235,125,132.5,-137.5,132.5,220,-227.5,-227.5,220,587.5,3,630.8,630.8,557,752.51,Yes,IPF,7/24/2017,Poland,World Games
Yelyzaveta Nazina,F,SBD,Single-ply,23.5,24-34,Open,71.5,72,225,237.5,247.5,247.5,145,155,-162.5,155,212.5,225,237.5,237.5,640,1,627.58,627.58,552.91,767.75,Yes,UkrainePF,2/23/2012,Ukraine,Ukrainian Powerlifting Championship
Lesya Guminska,F,SBD,Single-ply,22.5,20-23,Open,67.1,67.5,225,235,-240,235,-120,120,127.5,127.5,210,225,237.5,237.5,600,1,615,615,542.57,745.85,Yes,UkrainePF,2/26/2003,Ukraine,Ukrainian Powerlifting Championships
Zhanna Ivanova,F,SBD,Single-ply,21.5,20-23,Juniors,66.5,67.5,225,-241,-241,225,130,140,145,145,205,215,-225,215,585,1,603.53,609.57,532.53,732.62,Yes,UkrainePF,4/13/2006,Ukraine,Ukrainian Junior Powerlifting Championships
Leah Benoit,F,SBD,Multi-ply,31,24-34,F_LWT_WPO,66,67.5,227.5,250,265,265,137.5,-152.5,152.5,152.5,195,210,-217.5,210,627.5,4,650.95,650.95,574.44,780.67,No,WPC,11/11/2018,USA,WPO Championships
Steph Taylor,F,SBD,Multi-ply,31,24-34,F_LWT_WPO,63.95,67.5,230,-245,-252.5,230,130,-137.5,-137.5,130,-190,190,202.5,202.5,562.5,6,597.33,597.33,527.35,720.39,No,WPC,11/11/2018,USA,WPO Championships
